Datetime,Temperature (C),Humidity (%),Wind Speed (m/s),Weather
2024-06-07 03:00:00,9.189999999999998,83,2.04,few clouds
2024-06-07 06:00:00,9.689999999999998,77,2.28,few clouds
2024-06-07 09:00:00,13.490000000000009,63,3.75,scattered clouds
2024-06-07 12:00:00,17.230000000000018,52,4.83,broken clouds
2024-06-07 15:00:00,17.760000000000048,57,5.47,light rain
2024-06-07 18:00:00,16.720000000000027,67,5.32,light rain
2024-06-07 21:00:00,13.640000000000043,82,3.52,few clouds
2024-06-08 00:00:00,11.590000000000032,81,3.62,clear sky
2024-06-08 03:00:00,9.930000000000007,86,3.16,few clouds
2024-06-08 06:00:00,11.580000000000041,78,3.3,clear sky
2024-06-08 09:00:00,14.710000000000036,67,3.57,broken clouds
2024-06-08 12:00:00,17.120000000000005,53,4.11,light rain
2024-06-08 15:00:00,18.55000000000001,50,3.92,light rain
2024-06-08 18:00:00,16.480000000000018,56,3.95,light rain
2024-06-08 21:00:00,12.760000000000048,65,2.64,scattered clouds
2024-06-09 00:00:00,10.170000000000016,68,1.38,few clouds
2024-06-09 03:00:00,8.689999999999998,70,1.19,clear sky
2024-06-09 06:00:00,10.710000000000036,58,1.38,clear sky
2024-06-09 09:00:00,15.53000000000003,43,3.46,clear sky
2024-06-09 12:00:00,18.610000000000014,43,4.75,few clouds
2024-06-09 15:00:00,17.03000000000003,57,4.81,overcast clouds
2024-06-09 18:00:00,16.090000000000032,70,4.38,light rain
2024-06-09 21:00:00,13.020000000000039,86,3.3,light rain
2024-06-10 00:00:00,12.879999999999995,85,3.57,overcast clouds
2024-06-10 03:00:00,11.760000000000048,97,2.76,light rain
2024-06-10 06:00:00,11.680000000000007,98,1.39,moderate rain
2024-06-10 09:00:00,10.870000000000005,97,2.07,moderate rain
2024-06-10 12:00:00,11.650000000000034,94,2.93,light rain
2024-06-10 15:00:00,10.28000000000003,96,3.84,moderate rain
2024-06-10 18:00:00,9.57000000000005,95,3.72,light rain
2024-06-10 21:00:00,8.810000000000002,95,2.71,light rain
2024-06-11 00:00:00,8.900000000000034,94,2.05,light rain
2024-06-11 03:00:00,9.0,97,3.57,light rain
2024-06-11 06:00:00,8.930000000000007,96,4.67,light rain
2024-06-11 09:00:00,8.610000000000014,94,4.2,light rain
2024-06-11 12:00:00,10.090000000000032,91,3.25,light rain
2024-06-11 15:00:00,13.220000000000027,76,3.3,light rain
2024-06-11 18:00:00,11.900000000000034,89,4.87,light rain
2024-06-11 21:00:00,9.29000000000002,93,3.57,light rain
2024-06-12 00:00:00,7.680000000000007,92,2.55,few clouds
