Datetime,Temperature (C),Humidity (%),Wind Speed (m/s),Weather
2024-06-13 09:00:00,14.950000000000045,77,3.99,few clouds
2024-06-13 12:00:00,15.230000000000018,69,5.71,scattered clouds
2024-06-13 15:00:00,15.340000000000032,65,6.61,light rain
2024-06-13 18:00:00,12.200000000000045,87,5.11,light rain
2024-06-13 21:00:00,10.79000000000002,93,6.22,light rain
2024-06-14 00:00:00,11.360000000000014,96,5.94,light rain
2024-06-14 03:00:00,12.390000000000043,96,3.19,light rain
2024-06-14 06:00:00,12.890000000000043,93,3.21,overcast clouds
2024-06-14 09:00:00,13.379999999999995,90,3.97,overcast clouds
2024-06-14 12:00:00,16.25,66,5.23,light rain
2024-06-14 15:00:00,18.010000000000048,54,6.91,light rain
2024-06-14 18:00:00,15.79000000000002,64,5.43,light rain
2024-06-14 21:00:00,12.78000000000003,77,4.24,overcast clouds
2024-06-15 00:00:00,11.54000000000002,86,4.36,light rain
2024-06-15 03:00:00,9.610000000000014,92,3.78,light rain
2024-06-15 06:00:00,10.590000000000032,82,4.66,broken clouds
2024-06-15 09:00:00,15.25,59,6.86,few clouds
2024-06-15 12:00:00,13.520000000000039,88,4.89,light rain
2024-06-15 15:00:00,16.360000000000014,70,5.61,light rain
2024-06-15 18:00:00,14.640000000000043,72,5.5,light rain
2024-06-15 21:00:00,11.810000000000002,86,4.82,light rain
2024-06-16 00:00:00,11.29000000000002,83,5.47,broken clouds
2024-06-16 03:00:00,11.550000000000011,80,5.57,broken clouds
2024-06-16 06:00:00,12.220000000000027,81,4.67,broken clouds
2024-06-16 09:00:00,16.650000000000034,60,5.42,few clouds
2024-06-16 12:00:00,17.930000000000007,58,6.24,light rain
2024-06-16 15:00:00,17.110000000000014,69,5.9,light rain
2024-06-16 18:00:00,16.810000000000002,60,4.61,light rain
2024-06-16 21:00:00,13.560000000000002,75,3.1,overcast clouds
2024-06-17 00:00:00,12.430000000000007,85,2.06,overcast clouds
2024-06-17 03:00:00,11.360000000000014,90,1.92,broken clouds
2024-06-17 06:00:00,13.04000000000002,82,2.33,broken clouds
2024-06-17 09:00:00,17.77000000000004,59,3.78,broken clouds
2024-06-17 12:00:00,18.05000000000001,66,4.6,light rain
2024-06-17 15:00:00,18.980000000000018,65,4.66,light rain
2024-06-17 18:00:00,17.83000000000004,77,3.22,light rain
2024-06-17 21:00:00,14.470000000000027,92,2.13,light rain
2024-06-18 00:00:00,12.950000000000045,95,1.72,clear sky
2024-06-18 03:00:00,11.75,96,1.27,clear sky
2024-06-18 06:00:00,12.420000000000016,85,2.29,few clouds
